File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations
Orange Stripe#92-English-OMQ.pdf,FY-23,Orange Stripe,92/FY-23,"December 25, 2022 Time: 03:45AM",03:45AM,Haul Road near ‘P’ Ore Body Gate,"Logistics, Khondbond",Not Found,LTI of contractor employee,Pain and abrasion in Left leg,Contractor,M/s Leading Construction (L067),3,"Blue Risk (C3, L3)",Not Found,Yes,"? On December 25, 2022, M/S Leading Construction was engaged in internal product shifting job. A loaded tipper (T1) being operated by Injured Person (IP) was moving from truck loading station towards fine ores stock. While another load tipper (T2) was waiting at the signal near P Ore Body Gate cross","1. IP (Driver) was having valid gate pass and 12 years of experience in driving. 2. IP had momentarily fallen asleep before the incident. 3. Fatigue Monitoring System& other safety features were installed and were working properly. 4. IP hit his truck to another standing loaded truck’s dump body near P Ore Body Gate. 5. Front portion of truck & cabin dashboard got damaged. IP’s left leg got injured and he was transferred to Joda Hospital by ambulance. 6. At the Hospital, X-Ray was done, and no f",1. Individuals are advised to rest properly before joining night shift duty & the same should also be verified during Toolbox meeting.
Orange Stripe#91-English-TSK-PP29.pdf,FY-23,Orange Stripe,91/FY-23,"November 29, 2022 Time: 04:00 PM",04:00 PM,Kalinganagar,"Pellet Plant, Mechanical, TSK",Not Found,LTI of a contractor employee,Cut injury on the upper part of finger and fingertip fracture,Contractor,M/s Sai Shakti Construction,3 Star,"Blue Risk (C3, L3)",Not Found,No,": On November 29, 2022, at Pellet Plant, Helper and Grinder (Injured Person-IP) were engaged in manual shifting of pipe piece (diameter: 3-inch, length: 2 mtr) at ground level. While manually shifting the pipe, the grinder got imbalanced due to uneven surface (approx. 400 mm deep from levelled surfa",1. IP was not wearing hand gloves. 2. Presence of uneven surface in the working area.,1. Individuals should wear proper hand gloves and other necessary PPEs on the job. 2. Six directional hazards like uneven surfaces in the working area need to be identified and necessary precautions should be taken.
Orange Stripe#90-English-TSK-PP9.pdf,FY-23,Orange Stripe,90/FY-23,"December 9, 2022 Time: 05:25 PM",05:25 PM,Kalinganagar,"Pellet Plant, Mechanical",Not Found,LTI of a contractor employee,Cut injury in fingertips of right-hand middle & ring finger,Contractor,M/s Irise India Pvt ltd,3 Star,"Blue Risk (C3, L3)",Not Found,No,": On December 9, 2022, during opening of manhole covers of Ball Mill #1 with the help of EOT crane, there was an issue in detaching one of the manhole covers. Hence, it was decided to remove this cover manually by making a locking arrangement from inside the ball mill. However, some jamming issue wa",1. Work permit for the job was available. 2. Supervisor was not available on the job. 3. Safe work procedure for this specific job was not available.,1. Makeshift arrangement should not be done without risk assessment. 2. Job specific Safe Work procedure needs to be prepared before carrying out such jobs and proper supervision should be ensured while executing such jobs.
Orange Stripe#89-English-G-Blast Furnace.pdf,FY-23,Orange Stripe,89/FY-23,9.12.2022 Time: 12:40 PM,12:40 PM,Jamshedpur,G-Blast Furnace,Cast House,LTI of company employee,Fracture in right ankle,Company,"ZA Enterprise,",Not Found,"Blue Risk (C3, L3)",416,Yes,": On 09th Dec’2022, at around 12:40 PM, Injured Person (IP), Foreman (Operation) G Blast Furnace was going for inspection of Tap Hole#2 gunning job. He moved from mud gun side towards Tap Hole#2. While moving, his right leg entangled with gunning hose and he fell. After completion of his shift duty","1. Tap Hole#2 Gunning was under progress, it was being done by IM Refractory (Vendor- ZA Enterprise, Z008) as per Standard Operating Procedure - TSL/IMR/SOP/BF/07. During that time, IP was moving from mud gun side of second trough towards Tap Hole#2. 2. Gunning was going on as per procedure and gunning hose pipe was lying on the ground. IP moved without carefully observing Six Direction Hazards. As a result, his right leg got entangled with hose pipe and he fell.",1. Awareness on 6-direction hazards should be strengthened. 2. Inspection should be done only after removing the hose pipe post gunning operation.
Orange Stripe#85-English-LD2SC.pdf,FY-23,Orange Stripe,85/FY-23,17-11-2022 Time: 09:40 AM,09:40 AM,Jamshedpur,LD2 & SC,Slab Caster,LTI of company employee,Contusion on right shoulder and right hand,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",267 days,No,": On 17th Nov’22, Injured Person (IP) was in A-shift duty at Casting Pulpit 3, Slab Caster 1. Around 9:40 AM, a minor fire occurred in the casting area. IP extinguished the fire with water from a nearby water point. After extinguishing the fire, while he was returning to resting area, he slipped on",1. IP was wearing all the necessary PPEs. 2. Area was well illuminated and free of any oil and grease leakages.,"1. In such situations, individuals should take extra precaution by holding handrail while moving up or down the staircase. 2. All the Slip Trip Fall hazards of the area to be eliminated by forming a cross-functional team."
Orange Stripe#84-English-Khopoli-WCRM.pdf,FY-23,Orange Stripe,84/FY-23,15.11.2022 Time: 11:00 AM,11:00 AM,Meramandali,WCRM,Not Found,LTI of contractor employee,Burn Injury in both hands’ wrist and thumbs.,Contractor,M/s Konecranes,3 Star,"Red Risk (C4, L4)",Not Found,No,"? On 15th November’22, Injured Person (IP) was engaged in monthly shutdown job of cranes at Service Centre Shed No-1 on EOT Crane-3. As per IP, he was trying to switch off the Switch Fuse Unit (SFU) of protective panel for positive isolation. As the SFU handle was not functioning properly, he opened",1. Work Permit was taken for the job at 9 AM. 2. IP is part of OEM team and has adequate knowledge of crane equipment and related electrical controls. 3. He is involved in crane maintenance for the last two years. 4. IP was not wearing all required Personal Protective Equipment (PPEs) and Standard Operating Procedure was not followed. 5. The pliers touched the live part of incoming bus of contactor and resulting in flash and burn injury to the IP.,Not Found
Orange Stripe#81-English-COB5.pdf,FY-23,Orange Stripe,81/FY-23,03.11.2022 Time: 4:30 PM,4:30 PM,Jamshedpur,Battery 5&6,Not Found,LTI case of contractor employee,Fracture in right hand little finger and ring finger,Contractor,M/S Edifice Engg (E-240),NA,"Yellow Risk (C3, L4)",Not Found,No,"? Injured Person (IP) was engaged in core drilling of concrete shell of chimney (45 degrees angle) at Battery#5 & 6 dismantling project. During the process of drilling, IP was involved in positioning of the drill bit extension pipe at the marked position. After positioning the drill bit on marked po",1. Standard Working Procedure was available at site. 2. IP was wearing safety gloves. 3. Core cutting drill machine was in good condition. 4. Illumination at the site was adequate.,1. Rotating machinery should not be held in hand in power on condition. 2. Before starting of the machine clear communication to associated person must happen every time. 3. Proper arrangement/tool should be developed to avoid manual intervention.
Orange Stripe#82-English-EngineeringServices.pdf,FY-23,Orange Stripe,82/FY-23,22.10.2022 Time: 11:45 AM,11:45 AM,Jamshedpur,Engineering Services (PHES),Not Found,LTI of contractor employee,Injury in left leg,Contractor,M/s TSUISL,3,"Yellow Risk (C3, L4)",Not Found,No,"? On 22.10.22, M/s R K Construction sub vendor of M/s TSUISL was engaged in drain cleaning job at Pellet Plant. During cleaning with the jetting machine, the nozzle of the jetting pipe got dislodged from the joint. Due to which, the hose pipe along with the steel adapter hit on the left leg of one o",1. The nozzle of the jetting pipe was dislodged from the threaded joint of the hose pipe adaptor. 2. Thread found in good condition. 3. The loose end of the pipe hit the crew members. 4. Standard Operating Procedure was in place and was followed.,1. Detailed recommendations will be shared post completion of incident investigation.
Orange Stripe#80-English-TGS.pdf,FY-23,Orange Stripe,80/FY-23,29/10/2022 Time: 01:20 PM,01:20 PM,Jamshedpur,Tata Growth Shop,Electrical Maintenance,LTI of a contractor employee,Cut injury at the base of fingers in left hand,Contractor,M/s SMG Electricals,NA,"Yellow Risk (C3, L4)",Not Found,No,"? Injured person (IP) was engaged in erection and commissioning of new earth pit at 33 KV Sub Station. While he was cutting the Mild Steel Galvanized Strip with a Handheld Grinder, the cutting wheel of the grinder broke and injured his left hand. IP attended TMH and subsequently underwent operation.",1. IP was cutting Mild Steel Galvanized Strip using Handheld Grinder without safety guard. 2. IP was wearing hand gloves. 3. Standard Operating Procedure & Work permit was available.,1. Handheld power tools to be used as per Original Equipment Manufacturer’s operating manual.
Orange Stripe#79-English-LP-IEM.pdf,FY-23,Orange Stripe,79/FY-23,21-10-2022 Time: 09:30 PM,09:30 PM,Jamshedpur,Mills & Utilities Electrical Maintenance,IEM,LTI of company employee,Abrasion below Knee in left leg,Company,Not Found,Not Found,"Yellow risk (C3, L4)",8,No,": Injured Person (IP) was in B-shift duty. At about 09:30 PM, IP was going to attend the shuffle bar lifting job behind the cooling bed. On his way, as he stepped on a drain cover (Cast iron), the drain cover toppled and his left foot went inside the trench. He sustained abrasion below the knee on h",1. Area was well-illuminated. 2. Crack was found on drain cover seating groove.,1. Drain cover sheeting groove with cracks should be repaired by Engineering Services. 2. Detailed recommendations will be shared after incident investigation is complete.
Orange Stripe#64-English-CRM.pdf,FY-23,Orange Stripe,64/FY-23,02.06.2022 Time: 02:10 am,02:10 am,Jamshedpur,M&U Electrical Maintenance,"PLTCM, CRM",LTI of a company employee,Injury on left rib 10-11,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",842,Yes,": Injured Person (IP) was engaged in Mill inspection job of field devices (during night shift of 1st June’22) at Mill Exit area of PLTCM during planned shutdown. While coming down from the Mill Exit Staircase, he slipped on the last two steps, fell backwards, and his head got hit by stair steps. Imm","1. The staircase where he slipped, was in two parts - with a landing in between. 2. Handrailing of upper part of the staircase was proper, but that for the lower part was not of adequate height and there was no continuity between the two hand railings. 3. Stair surface was very oily and hence slippery with a step width which was narrower than standard. 4. Illumination of the area was found adequate. 5. The shoe condition of IP was good.",1. Handrailing to be provided at all places wherever it is discontinued. 2. Source of oil and coolant leakage on shopfloor should be addressed. 3. Use of Anti Slip Mat should be recommended.
Orange Stripe#65-English-Khopoli.pdf,FY-23,Orange Stripe,65/FY-23,30/09/2022 Time: 3:28 AM,3:28 AM,Meramandali,Tube Mill-Operation ERW,Not Found,LTI case of contractor employee,Crush Injury in left-hand middle finger,Contractor,M/S Kartik Kumar,3 Star,"Yellow Risk (C3, L4)",Not Found,No,"? Injured Person (IP) was engaged in roll changing job at sizing section of Tube Mill#2 (Roll change 38.10 mm to 44.45 mm). After removing the operator side roll stand, while he was trying to pull out the bottom roll (of 38.10 mm from roll shaft of S3 pass), the roll (17.3 Kg) slipped & fell, result",1. Roll Change at Tube Mill is completely a manual activity. 2. IP was having total 8+ years of experience in such type of jobs at Tube mill. 3. IP was wearing all required PPEs. 4. Activity Identified in HSE Risk Matrix as C3 Risk. 5. Standard Operating Procedure (SOP) is available for the activity.,1. Review of SOP & Hazard Identification and Risk Assessment (HIRA) in line with re-calibrated risk matrix for such hazardous activities. 2. Display of visual SOP with Do’s and Don’ts in local language and Hindi. 3. Sleeve should be provided for roll fitting in driven shaft. 4. Roll fitting trolley/cassette feasibility to be check. 5. Woolen pad should be provided at mill bed during roll change activity.
Orange Stripe#76-English-Battery#567.pdf,FY-23,Orange Stripe,76/FY-23,27.10.2022 Time: 08:45 AM,08:45 AM,Jamshedpur,Coke Plant,Battery#567,LTI of company employee,Exposure to steam during quenching process,Company,Not Found,Not Found,"Yellow (C3, L4)",128,Yes,": On 27th Oct, after pushing of oven #144, loco containing the hot coke started moving towards quenching tower. Just before reaching the quenching tower, the control power of quenching loco started flickering. Due to this, the quenching loco couldn’t be stopped. The operator informed about this situ",1. Standard Operating Procedure (SOP) for loco operation was available. 2. No damage to quenching loco and the loco cabin was found. 3. Illumination inside loco cabin was good. 4. Communication systems such as walkie talkie were working well.,Detailed recommendations to be shared post completion of incident investigation.
Orange Stripe#75-English-IM-H.pdf,FY-23,Orange Stripe,75/FY-23,30.10.22 Time: 12:30 PM,12:30 PM,Jamshedpur,H-Blast Furnace,Cast House,LTI of company employee,Minor chipping fracture in left-hand wrist,Company,Not Found,Not Found,"Blue Risk (C3, L3)",2256 days,Yes (but not focussed on incident location),": On 30th Oct, Injured Person (IP) was engaged in cast running and closing activities (regular cast house activities). After cast closing, he was going from control pulpit#1 to tilting runner #2. While going towards tilting runner#2, he got unbalanced and fell near the gratings. He experienced pain",Not Found,"1. Walking over the grating area will be prohibited for everyone (including cast house crew). Also, proper demarcation will be done to avoid any chance of people going over it. 2. Grating to be covered with concrete. 3. Vehicle movement over the concreted area to be restricted to prevent damage."
Orange Stripe#74-English-SNTI.pdf,FY-23,Orange Stripe,74/FY-23,13.10.2022 Time: 11:50 AM,11:50 AM,Jamshedpur,Learning and Development,MAP&OPN,LTI of a trainee,Injury in right-hand ring finger (fingertip),Not Found,Not Found,Not Found,"Blue Risk (C3, L3)",68,No,": Injured Person (IP), a trainee, was undergoing training at MAP&OPN Section. On 13th Oct, he was performing a practical test on “Gear Backlash Checking” and was engaged in checking the backlash error by rotating the gears, while doing so his right-hand finger got trapped between the gear teeth. IP",1. Trainee was wearing all necessary PPEs. 2. Trainer was in the same lab and taking viva of other trainees. 3. Trainee was appearing in practical test when the incident happened. 4. Visual Standard Operating Procedure (SOP) was available with the trainee. 5. Practical demonstration was done by the trainer to the group. 6. Trainee was aware of the unsafe practices related to that simulator.,1. Display of do and don'ts in the lab. 2. Trainee should identify and note down the potential hazards as per the SOP before exercise. 3. Visual display of past incident should be done in the lab. 4. Visual display of all applicable PPEs should be done in the lab.
Orange Stripe#73-English-OMQ.pdf,FY-23,Orange Stripe,73/FY-23,14.10.2022 Time: 06:45 AM,06:45 AM,Noamundi Iron Mine,Security Services,Not Found,LTI of a contractor employee,Fracture in left distal radius bone (left-hand wrist joint),Contractor,M/s SIS (India) Ltd,NA,"Blue Risk (C3, L3)",Not Found,No,"? On 14.10.2022, Injured Person (IP) was deployed in “A” shift at diesel dispensing unit, Noamundi Iron Mine. During performing patrolling activity, his right leg got twisted and he fell on the ground. He was brought to Tata Steel Hospital, Noamundi for necessary medical treatment. During medical ex",• IP was wearing required PPEs at the time of incident. • IP was performing duty as per the Standard Operating Procedure. • Incident site was found levelled with minimum chances of Slip/Trip/Fall incident.,• Impart awareness on slip/trip/fall hazards to all frontline employees and precautions/alertness to be taken at workplace.
Orange Stripe#72-English-TubesDiv_.pdf,FY-23,Orange Stripe,72/FY-23,17.10.2022 Time: 1:00 AM,1:00 AM,"Near Kosfeld, aA straightening machine collector, Finishing & Warehouse",ST Mills,Not Found,LTI of a contractor employee,Amputation of 1/3rd (upper) part distal phalange of right-hand middle,Contractor,M/s Gunadhar Enterprises,3 Star,"Yellow (C3, L4)",Not Found,No,"? On 16-10-22 in C Shift, Injured person (IP) was deployed as slinger in ST Mills finishing area at Tubes Division. At about 1:00 am AM, IP went to the tube collector near of the Kosfeld ( aA straightening machine), m/c tube collector for lifting straight tube bundle. While he was arranging the tube","1. IP was deployed as a slinger at Finishing section, and he was using all-required PPEs including hand gloves during the job. 2. IP was arranging tubes at the collector of tube straightener machine, which is a 60-year-old machine engaged in slinging activity. 3. IP has been working at Finishing area for more than 4 years. 4. CCTV is working at Kosfeld machine area, but the tube collector (incident site) is not under the range of CCTV coverage.",1. Adherence to Standard Operating Procedure while doing manual jobs must be ensured. 2. Use of recommended tools must be complied. Formatted: Not Highlight
Orange Stripe#70-English-SS.pdf,FY-23,Orange Stripe,70/FY-23,05.07.2022 Time: 12 PM,12 PM,Jamshedpur,Spares Manufacturing,Planning,LTI of company employee,Soft tissue injury on right wrist,Company,Not Found,Not Found,"Blue Risk (C2, L2)",2534,No,"? Around 12 noon on 05.07.2022, Injured Person (IP) was going from his working desk to record room. While going, his right leg slipped on the floor. He tried to take support of his right hand but fell down and sustained injury. He felt pain and swelling after some time. Around 2:10 PM, he reported t",Not Found,. Recommendations: Safety shoes should be worn properly and should be tightened.
Orange Stripe#71-English-SS-TSCR.pdf,FY-23,Orange Stripe,71/FY-23,13.10.2022 Time: 5:35PM,5:35PM,Jamshedpur,Mills & Utilities Electrical Maintenance,TSCR-IEM,LTI of company employee,Contusion and pain over and beneath lateral malleolus right foot.,Company,Not Found,Not Found,"Yellow Risk (C3, L5)",52 Days,No,": On 13th Oct, Injured Person (IP) went to the 2-wheeler parking near tundish area after completing his duty. He removed the stand of his bike, while holding the bike sideways. While reversing, the bike tilted on his side and the ankle of his right leg got twisted. He felt pain and reported EPFA sta",1. No accumulation of water or other source of slippage found in the near the incident location. 2. Parking surface was in good condition. 3. Illumination in the area was good.,TSCR IEM Team to be sensitized on being attentive while putting/removing the stand of 2-wheeler.
Orange Stripe#69-English-SS-Eqms.pdf,FY-23,Orange Stripe,69/FY-23,05.07.2022 Time: 10:58 AM,10:58 AM,Jamshedpur,"Loco Maintenance (MOS), Equipment Maintenance Services (EQMS)",Not Found,LTI of contractor employee,Injury in elbow of right-hand,Contractor,ALLY ENTERPRISES,3,"Blue Risk (C3, L3)",Not Found,No,"? Injured Person (IP) was engaged in guiding a forklift at Wagon Repair Shop, which was dumping scrap materials from the shop floor to the bin area. He was guiding the driver, so that the materials are properly dumped at the designated location. While the forklift was dumping the material, to be in",1. IP was engaged in material handling job. 2. IP was wearing all required PPE. 3. Standard Operating Procedure is available for the job. 4. Work permit taken for the job.,1. All Employees must be re-trained on Material Handling Standard Operating Procedure. 2. Scrap handling must be done through pallets or pick and carry cranes. 3. Unplanned activities at workplace should be carefully executed only after proper JCC and any unsafe acts must be eliminated through Roko-Toko.
Orange Stripe#68-English-Bhelt-.pdf,FY-23,Orange Stripe,68/FY-23,07/10/2022 Time: 1:30 PM,1:30 PM,14 seam 5/S Panel,"Bhelatand Colliery, Jharia",Not Found,LTI of two company employees,One employee suffered cut injury on head and other employee suffered,Company,Not Found,Not Found,"Red Risk (C4, L5)",26,No,"? For conducting blasting at underground mining face, Injured Persons were engaged in preparing ‘priming cartridges’ while sitting at about 15 feet away from the face. While they were performing the said activity, three numbers of small stone pieces measuring about 6”x8”x4” fell on them from a hidde",1. Face was well ventilated. 2. IPs were sitting near the edge of fan duct about 15ft. away from the face for preparing the prime cartridge. 3. Roof and side support was found adequate as per support plan. 4. W-strap and rigid wire mesh were fixed in roof on all visible slip planes and cracks. 5. There was gap in triangular shape between the two rigid wire mesh and from this gap stone pieces fell over the IPs. 6. Slickenside (polished surface) was observed in hidden slip planes at,"1. Exploring the possibility of bridging the gap between two rigid wire mesh as it is difficult to overlap. 2. Selecting the site for preparing priming cartridges by shift Shotfirer in consultation with Overman considering the site condition, as faces are constantly advancing (development) or retreating (de- pillaring), 3. Six directional hazards must be assessed by all the employees before starting the Job in line with DGMS directive 10 Point check list. सुर(cid:162)ा मेर(cid:547) िज(cid:224)मे"
Orange Stripe#49-English-LD1.pdf,FY-23,Orange Stripe,49/FY-23,11/08/2022 Time: 06:05 AM,06:05 AM,Jamshedpur,LD#1,SMLP,LTI of company employee,Amputation at left ring finger distal joint,Company,Not Found,Not Found,"Yellow Risk (C3, L4)",129,No,": Injured Person (IP) was coming from his residence to join duty in A shift. When he reached towards vessel ramp road (approx. 50 m before punching machine), his two-wheeler skidded after applying brake and dashed with the car of another employee of LD#1 who was coming from opposite side. IP fell on",1. It was raining during the time of incident and area was wet. 2. Condition of tyre of IP’s 2-wheeler found in good condition and IP was wearing crash helmet.,1. Communication circular to all employees of LD1 to use Punch machine which is nearest to their workplace. 2. Road cleaning frequency to be increased with respect to slag deposition on road due to slag handling by Euclid and Dumpers. 3. CCTV to be installed to cover the road near WWTP punch machine as this machine is being used by maximum employees. 4. Road survey to be done by Road safety and Road management team to improve the road condition with respect to signages.
Orange Stripe#50-English-FMM.pdf,FY-23,Orange Stripe,50/FY-23,13th July’22 Time: 7:20 pm,7:20 pm,Jamshedpur,Field Maintenance - Mechanical,Belt Group,LTI of company employee on the staircase of the CP& EMS office building,Swelling and tenderness over left lateral malleolus and base of 5th,Company,Not Found,Not Found,"Yellow Risk (C3, L5)",27,NO,": The Injured Person (IP) was in B shift duty and at around 7: 20 pm while he was coming down the stairs of CP & EMS office building, suddenly his left foot got slipped and he fell down. After the incident, IP felt pain and was immediately sent to west plant first aid, where the doctor referred him",Not Found,"1. People are advised to hold handrails while going up & down on stairs. 2. Use of mobile phones should be strictly prohibited while climbing up & down stairs. 3. While entering in office from site, the shoes are to be cleaned on the door mat & availability of the same to be ensured at the section entrance."
Orange Stripe#47-English-TSK-P-CRM.pdf,FY-23,Orange Stripe,47/FY-23,02.08.2022 Time: 12:15 PM,12:15 PM,Kalinganagar,"CRM Mechanical, TSK",Not Found,LTI of a contractor employee,Fracture in left hand upper arm,Contractor,M/s Offshore Infrastructures Limited,In progress,"Blue Risk (C3, L3)",Not Found,No,: M/s Offshore Infrastructure is engaged in erection of structural work in CRM Project. Injured Person-IP (Welder) along with 2 other co-workers was engaged in man lifter at 22 mtr height for fixing of knee bracing in the bracket (which is required for monitor erection – shown in the picture). One e,1. Work permit was available for equipment as well as for the job. 2. Illumination was adequate. 3. Toolbox talk was given to the workmen before starting the job. 4. IP was using all required PPEs.,1. Rope pulley/Chain pulley block to be used for holding the structural member for such activity to protect from movement/fall. 2. Pre job description with hazards & precautions needs to be communicated in detail to working team and supervision to be strengthened.
Orange Stripe#44-English-TSM-SMS.pdf,FY-23,Orange Stripe,44/FY-23,11/07/2022 Time: 08:10 AM,08:10 AM,Meramandali,SMS # 2,Not Found,LTI of a contractor employee,Fracture in left pelvic bone,Contractor,M/s. IFGL Refractories ltd,3 Star,"Yellow Risk (C3, L4)",Not Found,No,"? A Scrap transfer car (STC) was being pushed towards Conarc, on its designated track by a JCB machine from behind. Scrap yard supervisor was leading the car to clear the path and guiding the JCB operator. Injured Person (IP) was going towards caster from CD – bay, taking food packet from canteen at",1. IP was crossing the Scrap transfer car track. 2. IP misjudged the movement of scrap transfer car and hit the scrap transfer car in an attempt to cross the track from behind the car.,1. Permanent barricading to be provided on both sides of the track. 2. Access control through drop gates to be installed. 3. Scrap transfer car movement should be mechanized. 4. Siren to be installed in transfer car to alert its movement. 5. Illumination as per standard should be provided on the track.
Orange Stripe#43-English-TSM-Khopoli.pdf,FY-23,Orange Stripe,43/FY-23,12/07/2022 Time: 01:15 AM,01:15 AM,"Tube mill shed no.08, Tube transfer trolley Surface Treatment Plant",Surface Treatment Plant,Not Found,LTI of a contractor employee,Crush Injury,Contractor,M/s. Nisha Enterprises,3 Star,"Blue Risk (C3, L2)",Not Found,No,"? Injured Person (IP) was involved in unloading the tube bundle from transfer trolley through EOT crane. While performing the job, IP’s left hand ring finger got trapped between supporting pipe & trolley frame, resulting in crush injury on left hand ring finger. Risk Type : Blue Risk (C3, L2) Name o",1. IP had kept his left hand on supporting pipe of trolley and during lot lifting activity by EOT crane his right-hand ring finger got trapped between supporting pipe & trolley.,1. Standard Operating Procedure (SOP) needs to be reviewed and revised incorporating the recommendations generated after incident investigation is complete.
Orange Stripe#42-English-TSM-Procurement.pdf,FY-23,Orange Stripe,42/FY-23,07/07/2022 Time: 12:45 PM,12:45 PM,Meramandali,Procurement (Stores),Not Found,LTI of a contractor employee,Fracture in right hand ring finger,Contractor,M/s. Pragati Nath,3 Star,"Yellow Risk (C3, L4)",Not Found,NO,"? On 7th July ‘22 at 12:25 PM, at BOF Utility near Water Complex area stacking of unloaded ferric alum lumps was being carried out. Injured Person (IP) was engaged for un-loading and shifting of these ferric alum lumps from the vehicle. When IP and his co-worker were lifting two lumps sticked to eac","1. IP was using proper PPE’s. (Hand Gloves, Helmet, Safety Shoe, Goggles & Vest) 2. Standard Operating Procedure for unloading of Ferric Alum was available at site with supervisor. 3. Toolbox talk was conducted before commencing of the job. 4. Work permit renewal was not done.","1. Supplier should be advised a F-15 mechanized handling system to avoid manual handling of ferric alum lumps through pallet box. 2. A liquid substitute for alum to be discovered for water purification as the weight of alum is around 20 Kg, and it bonds with each other due to presence of moisture."
Orange Stripe#40-English-TSK-IM(Security).pdf,FY-23,Orange Stripe,40/FY-23,16/06/2022 Time: 11:55 PM,11:55 PM,Kalinganagar,Security Services,Not Found,LTI of contractor employee,Injury on the left-hand palm & index finger,Contractor,M/s Checkmate Services Pvt Ltd,CSM rating not done,"Blue Risk (C3, L3)",Not Found,Yes,": On 16th June’22, at IM Section back gate (Old Gate No 2), a trailer having reg. no. OD04J6692 of M/s TMILL containing ODC material was trying to cross the gate. As the width of the gate was very narrow vis-à-vis the width of the ODC material, a security guard (Injured Person-IP) was deployed. Secu",Not Found,Team to be formed and incident to be investigated in detail. Recommendations to be shared thereafter.
Orange Stripe#41-English-Jamadoba.pdf,FY-23,Orange Stripe,41/FY-23,12.07.2022 Time: 6:30 PM (‘B’ Shift).,6:30 PM (‘B’ Shift).,JCPP Road Near Old Plant,Plant Operation,Not Found,LTI of contractor employee,injury in the tip of left hand middle and ring finger,Contractor,M/s Munna Khan,Star 3,"Yellow Risk (C3, L4)",Not Found,NO,"? Contractor employee (Injured Person-IP) was operating water spraying tanker (Reg. No. JH 02AE2723) for dust suppression. The tanker broke down in “B Shift” due to problem in the front left wheel. While the fitter was repairing the wheel, IP also started helping. While IP was holding wheel hub weig","1. The Area where vehicle broke down, was the concrete road near Old wash plant. 2. Area was spacious and free from any obstructions. 3. Vehicle was properly barricaded with temporary cone barrier and a danger tape. 4. Skill certification done on 03.09.2021 with proficiency “Silver”. 5. Retraining of the Operator and Supervisor was done last on 4th July-22. 6. The Illumination was not adequate due to structure shadow therefore work was being done with the local light arrangement. 7. Road conditi",1. A common roadside assistance team to be prepared for the contractors to handle vehicle breakdown inside premises. 2. Consequence management to be applied as per TSL Safety Standard. 3. Retraining to be provided to the people involved in transportation activities.
Orange Stripe#39-English-TSK-Coke Plant.pdf,FY-23,Orange Stripe,39/FY-23,05/07/2022 Time: 10:00 AM,10:00 AM,Kalinganagar,"Coke Plant, TSK",Not Found,LTI of contractor employee,Fracture in left hand wrist,Contractor,M/s- R.C Engineering Enterprises,3 Star,"Blue Risk (C3, L3)",Not Found,No,": For fixing the insulation over Battery#1B, Gas Reversing Boxes stud welding job was planned. In order to contain the hot spatter generated during welding, a ceramic cloth was put over the Mixed Gas Cellar Pipeline, which is located just below the Gas Reversing Boxes. There was a two-step platform",1. Work Permit & Standard Operating Procedure was found adequate. 2. Illumination was adequate. 3. IP was wearing all the required PPEs.,1. Detailed recommendations to be shared after investigation is complete.
Orange Stripe#38-English-TSK-Env.pdf,FY-23,Orange Stripe,38/FY-23,22.06.2022 Time: 12:35 PM,12:35 PM,Kalinganagar,Environment,Not Found,LTI of contractor employee,Cut in forehead & fracture in wrists,Contractor,M/s Maa Tarini Plantation,3 Star,"Yellow Risk (C3, L4)",Not Found,No,"? On getting request for branch cutting in the Project Office near Gate No 1, a ladder was arranged by projects team for performing the job as the area was not approachable for man lifters. After taking work permits from project team, the job was initiated at about 9:40 am. Injured Person (IP), a co",1. Standard Operating Procedure was available. 2. The ladder was held by a worker & safety belt was not used. 3. IP was wearing all PPEs.,"Investigation in progress, detailed recommendations to be shared thereafter."
Orange Stripe#37-English-TGS-E&P.pdf,FY-23,Orange Stripe,37/FY-23,28-06-2022 Time: 11:05 PM,11:05 PM,RFD Yard,TGS,Not Found,LTI of contractor employee,Left hand ring finger injury,Contractor,M/S Smart Engineering,3 Star,"Blue risk (C3,L3)",Not Found,Yes,"? Loading of fabricated structural material was in progress. On ground level, while changing the orientation of one the fabricated bracing (length 5m, weight - 200kg), left hand ring finger of the Injured Person (IP), a rigger, came in between bracing and material kept adjacent to it. IP suffered cr",1. IP was wearing all the necessary PPEs. 2. He was doing material handling (rigging) job and had experience of more than 10 years in the same area. 3. IP was shifting material and changing the orientation of material. 4. While changing material orientation crush injury happened in the left ring finger.,1. Training and awareness session for work standard should be organized in the department and 100% coverage to be ensured. 2. Hands are not tools campaign should be refreshed. 3. Standard tools should be provided.
